Feedback
teacher are punctual but they should also give us the some practical knowledge other than theortical
Good 
Excellent lectures are delivered by teachers and all teachers are very punctual.
Good
teachers give us all the information required to improve the performance.
Yes
good and punctual
It is good
Good
Good
It's good when compare with my Btech lectures and teaching activities.
Good
way of teaching is good
"University teaching here is very much dependent upon slides,though it is a easy way of teaching but still leaving some concepts unclear..otherwise interaction with the faculty is good.Lecture delivery sometimes is not upto the mark and punctuality is  fine. "
Good
Good 
As compared to other colleges and university our university is perfect in all the aspects
Good
Lectures helps in clear our concept
"Talk about punctuality, it's really good but the lecture delivery is somehow not appreciated because every teacher has different style of teaching, so lack of knowledge in terms of subject is there and interaction is also kind of boring. A teacher should be entertaining as well but they are really not. All they want us to be studios and disciplined which is really not the thinking of every student."
"University is very good at delivering proper lectures,also the interaction with students is descent. Sometimes the teachers lack in terms of punctuality but overall university is giving a good input. "
Good
Good
lecturer are punctual and can interact them easily.
Good
Good
Punctuality is good. Most of the teachers are not interacting with students .
Good
nice
lecture delivery is not so good
It's good
"Discipline, punctuality , lecture delivery all are good but hv to do some work for quality of lecture"
"Interaction is very good,accurate supplement material is provided but recommendation of books is very poor,the change of a particular teacher after 3 months or a semester of same subject causes problems"
Perfect
It is really gud
Very good teaching and management but too much load on student and working hours
in terms of lecture delivery that is good.in terms of punctuality that is also good but in terms of intraction that is very bad. There are some teachers they donot interact and do not litsn our problms that means they do not coprate.
According to me everything is going well in accordance to interaction.More than enough is served. 
Very good teaching and management but too much load on student and working hours
not effective and satisfactory in terms of lecture delivery by all the faculty .
Good
Good
Accurate
It's good
Good
it is good depending on the faculty
"maintained punctuality, good lecture delivery"
average
average
good
good
good
good
average
good
"it is quite good , depending on teacher and their experience"
"it is quite good , depends upon teacher and their experience"
the way of teaching is good but the time more than enough
good teaching delivery
"good, teacher is delivery the lecture in the best way they can"
good and qualified teachers but few lacks in interaction with students and fails to describe a topic
average
"very good teaching facilities, lecture given are fruitful and teachers are punctual"
interaction is good but not with mostly male lecturers.punctuality is maintained by everyone but lecture delivery not peak quality.
all things are good
all things are good
all activties are good
all activties are good
good
All is good. no other university is so serious about the concept of practicals.
"lecture delivery depends on teacher's knowledge, punctuality is good"
Good
way of teaching is average
not so good
average
good
the staff is highly punctual ad interactive and encourage students to participate in the class
"staff and faculty members are always available for interaction, very punctual and delivery of lecture can be improved"
good delivery
good
"our university is good in terms of lecture delivery,interaction and punctuality"
good
very good
good
"interaction satisfied, lecture delivery good,punctuality always on time"
Excellent but it depends upon teacher
good
good
Good
good
Good
Good
 very good.
it is ok
some teachers aren't doing their jobs in very well manner
Some of the teachers are not well experienced but they are interactive and helpful and punctual.
